"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","LT1807CS8#PBF-ND","LT1807CS8#PBF","IC OPAMP GP 2 CIRCUIT 8SO","","2","0","9.69000","19.38"
"2","4","MC7805CTGOS-ND","MC7805CTG","IC REG LINEAR 5V 1A TO220","","4","0","0.52000","2.08"
"3","5","497-4548-1-ND","1N5818","DIODE SCHOTTKY 30V 1A DO41","","5","0","0.23000","1.15"
"4","5","56-CBB0207001003GCT00CT-ND","CBB0207001003GCT00","CBB 0207 2% CT 100K","","5","0","1.05000","5.25"
"5","5","BC4511CT-ND","MBB0207VD2002BC100","RES 20K OHM 0.1% 0.4W AXIAL","","5","0","1.67000","8.35"
"6","5","56-MBB0207VD1002BCT00CT-ND","MBB0207VD1002BCT00","MBB/SMA 0207-25 0.1% CECC 06 CT","","5","0","0.44000","2.20"
"7","5","BC4503CT-ND","MBB0207VD1001BC100","RES 1K OHM 0.1% 0.4W AXIAL","","5","0","1.67000","8.35"
"8","5","56-MBB0207VD2500BC100CT-ND","MBB0207VD2500BC100","RES 250 OHM 0.1% 0.4W AXIAL","","5","0","1.81000","9.05"
"9","5","490-16957-1-ND","RDEC71H106K3S1H03A","CAP CER 10UF 50V X7S RADIAL","","5","0","1.02000","5.10"
"10","5","399-4264-ND","C320C104K5R5TA","CAP CER 0.1UF 50V X7R RADIAL","","5","0","0.30000","1.50"
"11","5","399-14089-1-ND","C315C223K5R5TA7303","CAP CER 0.022UF 50V X7R RADIAL","","5","0","0.36000","1.80"
"12","5","399-C316C100K1G5TA-ND","C316C100K1G5TA","CAP CER 10PF 100V C0G/NP0 RADIAL","","5","0","0.34000","1.70"
"13","2","5556-MICROFC-60035-SMT-TRCT-ND","MICROFC-60035-SMT-TR","SENSOR PHOTODIODE 420NM 4SMD","","2","0","23.09000","46.18"
"14","10","311-49.9CRCT-ND","RC0805FR-0749R9L","RES 49.9 OHM 1% 1/8W 0805","","10","0","0.00900","0.09"
"15","10","311-1136-1-ND","CC0805KRX7R9BB103","CAP CER 10000PF 50V X7R 0805","","10","0","0.04400","0.44"

