"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description","#","Notes"
"U2","1","Opamp_Dual","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/18067fc.pdf","LT1807CS8#PBF","1",""
"U1","1","MC7805","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","https://www.onsemi.com/pdf/datasheet/mc7800-d.pdf","MC7805CTG","2",""
"D1,D2","2","D_Schottky","","","","Diode_THT:D_A-405_P10.16mm_Horizontal","https://www.st.com/content/ccc/resource/technical/document/datasheet/26/db/14/60/52/47/47/5b/CD00001625.pdf/files/CD00001625.pdf/jcr:content/translations/en.CD00001625.pdf","1N5818","3","Not the same diode. should be similar"
"R11,R14","2","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.vishay.com/docs/28736/cbb0207.pdf","CBB0207001003GCT00","4",""
"R12","1","24.9k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.vishay.com/docs/28767/mbsmapre.pdf","MBB0207VD2002BC100","5","Actual value is 20k. dont think it will make a difference. pretty sure this is a pull down"
"R8,R9","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.vishay.com/docs/28766/mbxsma.pdf","MBB0207VD1002BCT00","6",""
"R7","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.vishay.com/docs/28767/mbsmapre.pdf","MBB0207VD1001BC100","7",""
"R10","1","249","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.vishay.com/docs/28767/mbsmapre.pdf","MBB0207VD2500BC100","8","Actual value 250"
"C1","1","10u","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://pim.murata.com/asset/pim4/ceramicCapacitorLead/RDE_X7R_X7S_25V-100V_E_PDF_CERAMICCAPACITORLEAD?lastModifiedDatetime=20250909130222","RDEC71H106K3S1H03A","9",""
"C2","1","100n","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://content.kemet.com/datasheets/KEM_C1050_GOLDMAX_X7R.pdf","C320C104K5R5TA","10",""
"C3","1","20n","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://content.kemet.com/datasheets/KEM_C1050_GOLDMAX_X7R.pdf","C315C223K5R5TA7303","11","22nf"
"C5","1","10p","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://yageogroup.com/content/datasheet/asset/file/KEM_C1049_GOLDMAX_C0G","C316C100K1G5TA","12",""
